School_Type,School_Name,Address,Phone_Number,Fax_Number,Email_Address,Type,Zone,Website,Latitude,Longitude
Government Schools,Creve Coeur Government School,Creve Coeur Royal Road Long Mountain,2453205,2453205,ccgs@govmu.org,,1,,-20.1825499,57.5646032
Government Schools,Curepipe Road Government School,Cossigny Street Curepipe Road,6960212,6960212,crdgs@govmu.org,,3,,-20.3150972,57.5209909
Government Schools,D Basant Rai Government School,Royal Road La Rosa New Grove,6274128,6274128,dbrgs@govmu.org,,3,,-20.4154113,57.6233348
Government Schools,D Epinay Government School,Royal Road D Epinay,2434074,2434074,degs@govmu.org,,1,,-20.1299578,57.5983152
Government Schools,Daneswock Sewraz Government School,9th Mille Royal Road Triolet,2615942,2615942,sdgs@govmu.org,,1,,-20.0496994,57.5538071
Government Schools,Dookhee Gungah Government School,Royal Road Gros Billot New Grove,6274784,6274784,dggs@govmu.org,,3,,-20.4172969,57.6109469
Government Schools,Doorgachurn Hurry Government School,Royal Road Goodlands,2839574,2839574,hdgs@govmu.org,,3,,-20.0343399,57.6462069
Government Schools,Dr E Millien Government School,Souillac Street Port Louis,2128216,2128216,demgs@govmu.org,,1,,-20.1653887,57.4939286
Government Schools,Dr Idriss Goomany Government School,Diego Garcia Plaine Verte Port Louis,2420035,2420035,gdiags@govmu.org,,1,,-20.1632132,57.51878
Government Schools,Dubreuil Government School,Dubreuil Midlands,6655186,6655186,dgs@govmu.org,,3,,-20.3008686,57.6012831
Government Schools,Duperre Government School,Arya Samaj Street Mahebourg,6319288,,dugs@govmu.org,,3,,-20.4053915,57.7067002
Government Schools,Elsie Prele Government School,Mohamed Hossen Ellam St Sainte Croix Port Louis,2401993,2401993,scgs@govmu.org,,1,,-20.1502406,57.5271442
Government Schools,Emilienne Rochecouste Government School,Malartic Ave Quatre Bornes,4258012,4258012,ergs@govmu.org,,4,,-20.2679581,57.4811127
Government Schools,Emmanuel Anquetil Government School,Roche Bois Balisage Road Port Louis,2426460,2426460,aegs@govmu.org,ZEP,1,,-20.1447708,57.5117192
Government Schools,Ernest Florent Government School,Tagore Avenue Ernest Florent Grand River South East,4193147,4193147,efgs@govmu.org,,2,,-20.266816,57.764728
Government Schools,Esperance Trebuchet Government School,Navketan Road Esperance Trebuchet,2641563,2641563,etgs@govmu.org,,1,,-20.0711483,57.651213
Government Schools,Flic En Flac Government School,Royal Road Flic En Flac,4538626,4538626,fefgs@govmu.org,,4,,-20.276475,57.3727568
Government Schools,Fond Du Sac Government School,Lenin St Fond Du Sac,2666724,2666724,fdsgs@govmu.org,,1,,-20.0479283,57.5866333
Government Schools,Gopeechand Chuttur Government School,Shivala Road Ecroignard Road Flacq,4193283,4193283,gchgs@govmu.org,,2,,-20.2281029,57.7444894
Government Schools,Gopeenath Cheetamun Government School,Veeren Street Surinam,6255666,6255666,gcgs@govmu.org,,3,,-20.5127607,57.5086482
Government Schools,Grand Baie Government School,School Lane Grand Bay,2638498,2638498,gbygs@govmu.org,,1,,-20.0140299,57.5848281
Government Schools,Grand Bel Air Government  School,School Lane Grand Bel Air Mahebourg,6319011,6319011,gbags@govmu.org,,3,,-20.411764,57.6802813
Government Schools,Grand Bois Government School,Royal Road Grand Bois,6174949,6174949,gbgs@govmu.org,,3,,-20.4204648,57.5517455
Government Schools,Grand River South East Government School,Royal Road Grand River South East,4176021,4176021,grsegs@govmu.org,,2,,-20.2898419,57.7833042
Government Schools,Grand Sable Government School,Grand Sable Old Grand Port,4175468,4175468,gsgs@govmu.org,,2,,-20.3218479,57.7690748
Government Schools,GRNW Government School,Pailles Road Grand River North West,2127118,2127118,grnwgs@govmu.org,,1,,-20.1754134,57.4734911
Government Schools,Guy Rozemont Government School,1 Bathfield St Tranquebar Port Louis,2080923,2080923,rggs@govmu.org,ZEP,1,,-20.1772101,57.5128281
Government Schools,Henrietta Government School,School Lane Henrietta Vacoas,6842160,6842160,hegs@govmu.org,,4,,-20.3333377,57.4768663
Government Schools,Henry Buswell Government School,Farquhar St Rose Hill,4662302,4662302,hbgs@govmu.org,,2,,-20.2360862,57.4701807
Government Schools,Highlands Government School,Camp Fouquereaux Highlands Phoenix ,6862241,6862241,hlgs@govmu.org,,4,,-20.2801203,57.5188732
Government Schools,Hugh Otter Barry Government School,Curepipe Road Curepipe,6961931,6961931,hobgs@govmu.org,,3,,-20.3102269,57.5202622
Government Schools,Hurrypersad Ramnarain Government School,School Lane Terre Rouge,2488160,2488160,rhgs@govmu.org,ZEP,2,,-20.130991,57.5271714
Government Schools,Ilot Government School,D Epinay,2433022,2433022,igs@govmu.org,,1,,-20.1288424,57.5784428
Government Schools,J T Ramsoonder Government School,Solferino Vacoas,4264465,4264465,jtrgs@govmu.org,,4,,-20.2906325,57.4767808
Government Schools,James Toolsy Government School,Brown Sequa Road Street Curepipe,6741220,6741220,jtgs@govmu.org,,3,,-20.3227497,57.5233788
Government Schools,Jawaharlal Nehru Government School,Nehru Road Lallmatie,4184203,4184203,jngs@govmu.org,,3,,-20.1939571,57.6657292
Government Schools,Jean Lebrun Government School,G M Issac Street Port Louis,2422898,2422898,jlgs@govmu.org,,1,,-20.1597052,57.5177188
Government Schools,Jules Koenig Government School,Volcy De La Faye Street Beau Bassin,4646006,4646006,jkgs@govmu.org,,2,,-20.2264694,57.475656
Government Schools,L esperance Government School ,L Esperance Quartier Militaire,4355244,4355244,legs@govmu.org,,2,,-20.2259644,57.5947289
Government Schools,La Briquetterie Government School,1 Corson Street Cite Briquetterie Sainte Croix,2421109,2421109,lbgs@govmu.org,ZEP,1,,-20.143857,57.522652
Government Schools,La Flora Government School,Royal Road La Flora,6174948,6174948,lfgs@govmu.org,,3,,-20.4084617,57.5598031
Government Schools,La Gaulette Government School ,Royal Rd  La Gaulette  Case Noyale ,4515060,4515060,lggs@govmu.org,,4,,-20.4257303,57.36126121
Government Schools,La Sourdine Government School,La Soudine Road L Escalier,6367236,6367236,lsgs@govmu.org,,3,,-20.4760669,57.6198239
Government Schools,Labourdonnais Government School,Justice Street Port Louis,2127330,2127330,lgs@govmu.org,,1,,-20.175327,57.5061342
Government Schools,Lady L Ringadoo Government School,Providence Quartier Militaire,4355387,4355387,lrgs@govmu.org,,2,,-20.248157,57.6137823
Government Schools,Lady P K Boolell Government School,Petit Paquet Road Montagne Blanche ,4375701,4375701,lpkbgs@govmu.org,,2,,-20.2846415,57.6621202
Government Schools,Lapeyrouse Government School,Sterling Street Eau Coulee,6963262,6963262,lpgs@govmu.org,,3,,-20.3078186,57.517008
Government Schools,Le Morne Government School,Le Morne Village Le Morne,4515832,4515832,lmgs@govmu.org,,4,,-20.4704495,57.3452609
Government Schools,Louis Nellan Government School,Berthaud Ave Quatre Bornes,4253581,4253581,lngs@govmu.org,,4,,-20.2700555,57.4734881
Government Schools,Louis Serge Coutet Government School,School Lane Tombeau Bay,2472016,2472016,sclgs@govmu.org,ZEP,1,,-20.1277211,57.4989946
Government Schools,M Fowdur Government School,Royal Road Camp De Masque Pave,4165232,4165232,mfwgs@govmu.org,,3,,-20.2502062,57.6833989
Government Schools,M Ghurburrun Government School,Saint Julien Village Union Flacq,4184161,4184161,mghgs@govmu.org,,3,,-20.2060319,57.6752018
Government Schools,M Parsad Kisnah Government School,La Paix Royal Road Piton,2641046,2641046,kmpgs@govmu.org,,1,,-20.0967458,57.6316979
Government Schools,M  Dayanand Saraswati Government School,Royal Road  Bois Cheri,6174765,6174765,mdsgs@govmu.org,,3,,,
Government Schools,Madho Gopaul Government School,La Caverne Vacoas,6965974,6965974,mggs@govmu.org,,4,,-20.3032225,57.4838916
Government Schools,Maheshwarnath Government School,8th Mille Royal Road Triolet,2616223,2616223,mgs@govmu.org,,4,,-20.0581283,57.5517511
Government Schools,Mapou Government School,Royal Road Mapou,2661049,2661049,mags@govmu.org,,1,,-20.0789385,57.6089258
Government Schools,Marcel Cabon Government School,Bernadin De Saint Pierre Street Cite La Cure,2419156,2419156,mcgs@govmu.org,ZEP,1,,-20.1555389,57.5314702
Government Schools,Mare D albert Government School,Royal Road Mare D Albert,6274036,6274036,mdags@govmu.org,,3,,-20.4233053,57.6326162
Government Schools,Mare La Chaux Government School,Mare La Chaux Quatre Cocos,4151184,4151184,mlcgs@govmu.org,,3,,-20.2009959,57.7560974
Government Schools,Mare Tabac Government School,Royal Road Mare Tabac Riviere Des Anguilles,6274353,6274353,mtags@govmu.org,,3,,-20.4393488,57.5958171
Government Schools,Melrose Government School,Melrose Montagne Blanche ,4375704,4375704,megs@govmu.org,,3,,-20.2690927,57.6354066
Government Schools,Mesnil Government School,Royal Road Mesnil Phoenix,6962086,6962086,mesgs@govmu.org,,4,,-20.2922201,57.5170047
Government Schools,Midlands Government School,Midlands Midlands,6645396,6645396,midgs@govmu.org,,3,,-20.3385577,57.5714761
Government Schools,Mohabeer Burrenchobay Government School,Rishi Dayanand Road Plaine Magnien ,6373710,6373710,mbgs@govmu.org,,3,,-20.4308187,57.6609848
Government Schools,Mohabeer Foogooa Government School,Royal Road Long Mountain,2452601,2450239,fmgs@govmu.org,,1,,-20.1507005,57.5715528
Government Schools,Mohunlall Mohit Government School,L Avenir Saint Pierre,4331541,4331541,mmgs@govmu.org,,2,,-20.2190636,57.5507107
Government Schools,Mohunparsad Rambarrun Government School,Royal Road Saint Julien D Hotman,4165203,4165203,mrags@govmu.org,,2,,-20.2293921,57.6421148
Government Schools,Moka Government School,Bois Cheri Road Moka,4331561,4331561,mokgs@govmu.org,,2,,-20.2195233,57.5104654
Government Schools,Mon Desert Mon Tresor Government School,Mon Desert Mon Tresor Plaine Magnien,6373811,6373811,mdmtgs@govmu.org,,3,,-20.4522549,57.6752786
Government Schools,Morcellement Raffray Government School,Le Hochet Morcellement Raffray Terre Rouge,2492543,2492543,mrgs@govmu.org,,1,,-20.1383768,57.531501
Government Schools,Mount Ory Government School,Royal Road Mount Ory Moka,4330498,4330498,mogs@govmu.org,,2,,-20.2167534,57.491327
Government Schools,N Saddul Government School,Jackson Road Vacoas,6866167,6866167,nsgs@govmu.org,,4,,-20.2957237,57.4893122
Government Schools,New Bambous Geoffroy Government School,Geoffroy St Bambous ,4521295,4521295,nbgfgs@govmu.org,,4,,-20.2654481,57.4168468
Government Schools,New Bambous Government School,Royal Rd  Bambous,4520081,4520081,nbgs@govmu.org,,4,,,
Government Schools,New La Tour Koenig Government School,NHDC Complex Phase ll La Tour Koenig,2342158,2342158,nltkgs@govmu.org,,1,,-20.1726311,57.4649384
Government Schools,New Pailles Government School,Pailles Port Louis,2080595,,npgs@govmu.org,,1,,-20.1863257,57.4809357
Government Schools,Nicolay Government School,Cocoterie Road Roche Bois,2425220,2425220,ngs@govmu.org,ZEP,1,,-20.1455976,57.5168333
Government Schools,Noe Nemorin Government School,Royal Road Trou Aux Biches,2655052,2655052,nngs@govmu.org,,1,,-20.0420152,57.5391662
Government Schools,Notre Dame Government School,Notre Dame Church Road Long Mountain,2452113,2452113,ndgs@govmu.org,,1,,-20.1428051,57.5612334
Government Schools,Nouvelle Decouverte Government School,Nouvelle Decouverte Saint Pierre,4315280,4315280,ndvgs@govmu.org,,2,,-20.184647,57.5941556
Government Schools,Nouvelle France Government School,Seegoolam Road Nouvelle France,6778004,,nfgs@govmu.org,,3,,-20.3788015,57.5625755
Government Schools,Old La Tour Koenig Government School,Marguerite Lane La Tour Koenig Pointe Aux Sables,2344122,2344122,oltkgs@govmu.org,,1,,-20.1758634,57.4688122
Government Schools,Osman Peerun Government School,Royal Road Medine Camp De Masque,4166893,4166893,opgs@govmu.org,,2,,-20.2460673,57.6528221
Government Schools,P D De Marigny Government School,Grois Cailloux Petite Riviere,2384358,2384358,pdmgs@govmu.org,,4,,-20.2090885,57.4380191
Government Schools,Palma Government School,Palma Road Quatre Bornes,4246860,4246860,pags@govmu.org,,4,,-20.2834768,57.4498218
Government Schools,Pamplemousses Government School,Royal Road Pamplemousses,2433620,2433620,pgs@govmu.org,,1,,-20.1071452,57.5773913
Government Schools,Pandit Dowlut Sharma Ayrga Government School,School Lane Morc St Andre,2615050,2615050,apdsgs@govmu.org,,1,,-20.0707182,57.5656249
Government Schools,Pandit Jugdish Sharma Radhay Government School Ex Congomah Government School,Royal Road Congomah,2433039,2433039,rjsgs@govmu.org,,1,,-20.1394049,57.5976662
Government Schools,Pandit Sahadeo Government School,Hollywood Vacoas,6842166,6842166,psgs@govmu.org,,4,,-20.3140108,57.4824386
Government Schools,Pardooman Shibchurn Government School,Royal Road Plaines Des Roches,4125795,4125795,shpgs@govmu.org,,1,,-20.1181922,57.6979208
Government Schools,Permal Soobrayen Government School,Souillac,6255024,6255024,psogs@govmu.org,,3,,-20.5170001,57.5249789
Government Schools,Petit Raffray Government School,School Lane Petit Raffray,2839456,2834476,prags@govmu.org,,1,,-20.0192982,57.6224797
Government Schools,Petit Verger Government School,Petit Verger Saint Pierre,4334762,4334762,pvgs@govmu.org,,2,,-20.2157373,57.5226372
Government Schools,Petite Julie Government School,Petite Julie D Epinay,4187002,4187002,pjgs@govmu.org,,1,,-20.1403325,57.627665
Government Schools,Petite Riviere Government School,Royal Road  Petite Riviere,2335215,2335215,prgs@govmu.org,ZEP,4,,,
Government Schools,Phoenix Government School,Syed Hossen Avenue Phoenix,6963809,6963809,phgs@govmu.org,,4,,-20.2837929,57.501713
Government Schools,Plaine Des Papayes Government School,Royal Road Plaine Des Papayes,2666029,2666029,pdpgs@govmu.org,,1,,-20.0689668,57.5765053
Government Schools,Pointe Aux Piments Government School,Royal Road Pointe Aux Piments Triolet ,2615051,2615051,papgs@govmu.org,ZEP,1,,-20.0574726,57.526449
Government Schools,Pointe Aux Sables Government School,Royal Road Pointe Aux Sables,2345220,2345220,pasgs@govmu.org,ZEP,1,,-20.1723855,57.4469755
Government Schools,Poste De Flacq Government School,Royal Road Poste De Flacq,4132248,4132248,pdfgs@govmu.org,,2,,-20.1691236,57.7310397
Government Schools,Poudre D Or Hamlet Government School,Royal Road Poudre D Or Hamlet,2641575,2641575,pdhgs@govmu.org,,1,,-20.0821057,57.6514874
Government Schools,Poudre D Or Village Government School,Royal Road Poudre D Or,2839463,2839463,pdvgs@govmu.org,,1,,-20.0614339,57.6795851
Government Schools,Prof Ram Prakash Government School,Middle Road Bois Mangues Plaines Des Papayes,2668468,2668468,rgs@govmu.org,,1,,-20.0665589,57.5857025
Government Schools,Quatre Cocos Government School,Royal Road Quatre Cocos,4151270,,qcogs@govmu.org,,2,,-20.2091942,57.7706739
Government Schools,Quatre Soeurs Government School,Quatre Soeurs Grand River South East,4175040,4175040,qsgs@govmu.org,,2,,-20.2996306,57.7735661
Government Schools,Quinze Cantons Government School,Quinze Cantons Vacoas,6962855,6962855,qcgs@govmu.org,,4,,-20.310359,57.4801935
Government Schools,R C Nuckchady Government School,Guy Rozemont Street Trefles Rose Hill,4544546,4544546,rcngs@govmu.org,ZEP,2,,-20.2535499,57.4630726
Government Schools,R Gobhurdhun Government School,Royal Road Belle Vue Maurel,4125637,4125637,grgs@govmu.org,,1,,-20.1219374,57.6692146
Government Schools,R Motee Government School,Clemencia Bel Air Riviere Seche,4193268,4193268,rmgs@govmu.org,,3,,-20.2661439,57.7128821
Government Schools,Rajcoomar Gujadhur Government School,Royal Road Central Flacq,4132131,4132131,rgugs@govmu.org,,2,,-20.1939974,57.7223772
Government Schools,Rambasant Sewpal Government School,School Lane Chamouny Chemin Grenier ,6227344,6227344,rsgs@govmu.org,,3,,-20.4873009,57.480045
Government Schools,Ramlugun Moosun Government School,Bois Rouge Goodlands,2838082,2838082,morgs@govmu.org,,1,,-20.039301,57.643938
Government Schools,Ramnarain Roy Government School,"Royal Road, Chemin Grenier ",4192396,4192396,rrgs@govmu.org,,3,,-20.2629218,57.7467665
Government Schools,Ramsoomer Balgobin Government School,Royal Road Dagotiere,4334490,4334490,rbags@govmu.org,,3,,-20.2473205,57.5627053
Government Schools,Raoul Rivet Government School,Saint Georges Street Port Louis,2125360,2125360,rrigs@govmu.org,,1,,-20.1688971,57.5032518
Government Schools,Remy Ollier Government School,Murray Ave Quatre Bornes,4651709,4651709,robgs@govmu.org,,4,,-20.2541349,57.4739645
Government Schools,Renganaden Seeneevassen Government School,Douglas Street Les Salines Port Louis ,2089504,2135482,sgs@govmu.org,ZEP,1,,-20.162592,57.4883999
Government Schools,Residence Valijee Government School,6 Wagner Street Cite Vallijee Port Louis,2081475,2081475,cvgs@govmu.org,ZEP,1,,-20.1697134,57.4791545
Government Schools,Reunion Road Government School,John Kennedy Ave Vacoas,6966993,6966993,rrdgs@govmu.org,,4,,-20.3085298,57.491135
Government Schools,Rev Edward Walter Government School,Royal Road Quartier Militaire,4355388,4355388,rewgs@govmu.org,,3,,-20.2466121,57.5979429
Government Schools,Reverend Espitalier Noel Government School,Cite Mangalkhan Floreal,6961151,6961151,rengs@govmu.org,ZEP,2,,-20.312227,57.5051615
Government Schools,Riche En Eau Government School,Riche En Eau ,6335905,6335905,reags@govmu.org,,3,,,
Government Schools,Richelieu Government School,Beethoven St Cite Richelieu,2335217,2335217,rigs@govmu.org,ZEP,4,,-20.1902316,57.4563209
Government Schools,Riviere Des Anguilles Government School,La Barraque Street Riviere Des Anguilles,6262086,6262086,rdags@govmu.org,,3,,-20.4887799,57.5619462
Government Schools,Riviere Des Creoles Government School,S Bissoondoyal Street Riviere Des Creoles,6319037,6319037,rdcgs@govmu.org,,3,,-20.3917604,57.697317
Government Schools,Riviere Du Poste Government School,Royal Road Riviere Du Poste,6175193,6175193,rivdp@govmu.org,,3,,-20.4273924,57.573705
Government Schools,Robert Edward Hart Government School,Royal Road Surinam,6255029,6255029,rehgs@govmu.org,,3,,-20.513377,57.5109978
Government Schools,Robinson Road Government School,Robinson Road Curepipe,6741222,6741222,rordgs@govmu.org,,3,,-20.3286417,57.5043604
Government Schools,Roches Brunes Government School,Independence Avenue Roche Brunes,4545756,4545756,rbgs@govmu.org,,2,,-20.2355732,57.4598705
Government Schools,Roches Noires Government School,Royal Road Roches Noires,4115063,4115063,rngs@govmu.org,,1,,-20.1128843,57.7196464
Government Schools,Roches Terre Government School,School Lane RocheTerre,2889903,2889903,rtgs@govmu.org,,,,-20.01771,57.6540452
Government Schools,Rose Belle North Government School,Marie Jeanie Rose Belle,6274829,6274829,rbngs@govmu.org,,3,,-20.4014653,57.5943064
Government Schools,Rose Belle South Government School,Royal Road Gebert Rose Belle,6274040,6274040,rbsgs@govmu.org,,3,,-20.4066954,57.6088868
Government Schools,Rose Hill Central Government School,France Boyer De La Giroday Street Rose Hill ,4647325,4647325,rcgs@govmu.org,,2,,-20.245044,57.4700395
Government Schools,S Bissoondoyal Government School,Royal Road Lallmatie ,4183005,4183005,sbgs@govmu.org,,3,,-20.1898328,57.6673192
Government Schools,S H Chooroomoney Government School,Bassin Road Quatre Bornes,4244242,4244242,hcgs@govmu.org,,4,,-20.277772,57.4668852
Government Schools,S K Kanhye Government School,Melle Jeanne Goodlands,2838307,2838307,kskgs@govmu.org,,1,,-20.0331205,57.6571873
Government Schools,Saint Hubert Government School,School Lane Saint Hubert,6335023,6335023,shgs@govmu.org,,,,-20.3634149,57.6408509
Government Schools,Seegoolam Torul Government School,Royal Road Baramia Rose Belle,6274927,6274927,stgs@govmu.org,,3,,-20.4035983,57.6056039
Government Schools,Shri Rajiv Gandhi Government School,Riche Mare Central Flacq,4132014,4132014,srggs@govmu.org,,3,,-20.1977781,57.7250017
Government Schools,Shri Shamboonath Government School,Camp Fouquereaux Castel Phoenix,6867603,6867603,sshgs@govmu.org,,4,,-20.2886253,57.5232071
Government Schools,Sir Anerood Jugnauth Government School,Le Ravin Riviere Du Rempart,4127460,4127460,sajgs@govmu.org,,1,,-20.10211,57.6845485
Government Schools,Sir Claude Noel Government School,Royal Road L Escalier,6367575,6367575,scngs@govmu.org,,2,,-20.470995,57.6194639
Government Schools,Sir Edgar Laurent Government School,Dr Sun Yat Sen Street Port Louis ,2420123,2420123,selgs@govmu.org,,1,,-20.1596491,57.5072986
Government Schools,Sir Emile Series Government School,Bonne Mere Uinion Flacq,4132136,4132136,sesgs@govmu.org,,2,,-20.211215,57.7037335
Government Schools,Sir Harilal Vaghjee Government School,7th Mile Triolet,2615053,2615053,shvgs@govmu.org,,1,,-20.0766507,57.5483233
Government Schools,Sir Pierre Dalais Government School,Royal Road Trou D eau Douce,4802764,4802764,spdgs@govmu.org,,2,,-20.2398194,57.7866862
Government Schools,Sir Satcam Boolell Government School,Royal Road Sebastopol,4375703,4375703,ssbgs@govmu.org,,2,,-20.2935562,57.6911026
Government Schools,Sir Seewoosagur Ramgoolam Government School,Royal Road Cap Malheureux,2626323,2626323,ssrgs@govmu.org,,1,,-19.9871538,57.6191877
Government Schools,Sir Veerasamy Ringadoo Government School,Sodnac Ave Quatre Bornes,4649606,4649606,svrgs@govmu.org,,4,,-20.2667587,57.4877916
Government Schools,Sookun Gaya Government School,Ollier Lane Quatre Bornes,4544407,4544407,sggs@govmu.org,,4,,-20.2629012,57.4684151
Government Schools,Soopaya Soobiah Government School,Soobiah Avenue Reduit,4648789,4648789,ssogs@govmu.org,,2,,-20.2310858,57.4981472
Government Schools,Sooroojparsad Ramudhin Government School,Mont Ida Camp De Masque ,4166518,4166518,srgs@govmu.org,,2,,-20.2422895,57.6408225
Government Schools,Stanley Government School,Berthaud Avenue Stanley Rose Hill,4644206,4644206,stygs@govmu.org,ZEP,2,,-20.2484695,57.4614001
Government Schools,Surtee Soonnee Govt School,Alma Street Port Louis,2423257,2423257,ssgs@govmu.org,ZEP,1,,-20.1680422,57.5170041
Government Schools,The Vale Government School,Royal Road Upper Vale,2637250,2637250,tvgs@govmu.org,,1,,-20.02771,57.5975755
Government Schools,Trois Boutiques Government School,Trois Boutiques Union Vale,6373207,6373207,jrgs@govmu.org,,1,,-20.4500144,57.6509771
Government Schools,Union Park Government School,School Lane Union Park Nouvelle France,6778633,6778633,upgs@govmu.org,,3,,-20.3881723,57.5781382
Government Schools,Valetta Government School,Valetta Dagotiere,4334924,4334924,vags@govmu.org,,3,,-20.2549754,57.5587142
Government Schools,Vallee Des Pretres Government School,School Lane Vallee Des Pretres,2425156,2425156,vdpgs@govmu.org,,1,,-20.168195,57.535073
