zona_division_politico_adminisrativa;nombre_zona;nit;dane_anterior;dane_establecimiento;consecutivo_dane;nombre_sede;tipo_sede;comuna;nombre_comuna;nucleo;numero_oficial;prestacion_servicio;sector;zona_sineb;zona_georeferenciado;barrio;vereda;direccion_sede;telefono_sede;ano_registro
3;ZONA CENTRO ORIENTAL;"";105001003158;105001000353;10500100035302;SECCION ESCUELA HIPOLITO LONDOÑO MESA;SEDE;8;VILLA HERMOSA;924;108;OFICIAL;Oficial;URBANA;Urbana;Los Ángeles;0;CR 40 59 A 52;2925480;2022.0
3;ZONA CENTRO ORIENTAL;"";105001002577;105001000353;10500100035304;SECCION COLEGIO AGUSTIN NIETO CABALLERO;SEDE;8;VILLA HERMOSA;924;108;OFICIAL;Oficial;URBANA;Urbana;Los Ángeles;0;CR 40 59 A 21;2926320;2022.0
6;ZONA SUROCCIDENTAL;811017538-7;105001000396;105001000396;10500100039601;INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ;PRINCIPAL;15;GUAYABAL;933;161;OFICIAL;Oficial;URBANA;Urbana;LA COLINA;0;CL 8 SUR 52 B 72; 2552996, 2853667, 2853736;2022.0
6;ZONA SUROCCIDENTAL;"";105001015105;105001000396;10500100039602;SECCION ESCUELA GABRIELA MISTRAL;SEDE;15;GUAYABAL;933;161;OFICIAL;Oficial;URBANA;Urbana;LA COLINA;0;CL 10SUR    52-09;2551446;2022.0
6;ZONA SUROCCIDENTAL;"";105001008231;105001000396;10500100039603;SECCION ESCUELA LA COLINA;SEDE;15;GUAYABAL;933;161;OFICIAL;Oficial;URBANA;Urbana;LA COLINA;0;CR 52C    12ASUR-23;2550356;2022.0
6;ZONA SUROCCIDENTAL;"";105001000477;105001000396;10500100039604;SECCION ESCUELA REPUBLICA DE COSTA RICA;SEDE;15;GUAYABAL;933;161;OFICIAL;Oficial;URBANA;Urbana;LA COLINA;0;CR 52    7SUR-23;2852538;2022.0
3;ZONA CENTRO ORIENTAL;811017366-7;105001000418;105001000418;10500100041801;INSTITUCION EDUCATIVA LA MILAGROSA;PRINCIPAL;9;BUENOS AIRES;926;129;OFICIAL;Oficial;URBANA;Urbana;LA MILAGROSA;0;CR 29 41 14;2699965 EXT 11;2022.0
3;ZONA CENTRO ORIENTAL;"";105001002381;105001000418;10500100041802;SECCION ESCUELA SANTO TOMAS DE AQUINO;SEDE;9;BUENOS AIRES;926;129;OFICIAL;Oficial;URBANA;Urbana;LORETO;0;CR 33    36A-28;2163229;2022.0
6;ZONA SUROCCIDENTAL;811017505-4;105001000485;105001000485;10500100048501;INSTITUCION EDUCATIVA LA SALLE DE CAMPOAMOR;PRINCIPAL;15;GUAYABAL;933;162;OFICIAL;Oficial;URBANA;Urbana;CAMPO AMOR;0;CR 65 B 4 49;2851571;2022.0
6;ZONA SUROCCIDENTAL;811040190-4;105001000493;105001000493;10500100049301;INSTITUCION EDUCATIVA RAMON GIRALDO CEBALLOS;PRINCIPAL;16;BELÉN;934;174;OFICIAL;Oficial;URBANA;Rural;LA PALMA;0;CR 82 A 21 15;3411830;2022.0
3;ZONA CENTRO ORIENTAL;811017766-1;105001000566;105001000566;10500100056601;INSTITUCION EDUCATIVA CARACAS;PRINCIPAL;8;VILLA HERMOSA;924;109;OFICIAL;Oficial;URBANA;Urbana;Sucre;0;CL 54 33 67;2168993;2022.0
3;ZONA CENTRO ORIENTAL;"";105001002062;105001000566;10500100056602;SECCION ESCUELA BEATO HERMANO SALOMON;SEDE;8;VILLA HERMOSA;924;109;OFICIAL;Oficial;URBANA;Urbana;Sucre;0;CL 53 27 A 50;2695371;2022.0
3;ZONA CENTRO ORIENTAL;890980168-1;105001000621;105001000621;10500100062101;INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR DE MEDELLIN;PRINCIPAL;8;VILLA HERMOSA;924;110;OFICIAL;Oficial;URBANA;Urbana;La Ladera;0;CR 34 65 02;604 296 64 90 - 300 4124363;2022.0
2;ZONA NOROCCIDENTAL;811039431-2;105001000795;105001000795;10500100079501;INSTITUCION EDUCATIVA ALFREDO COCK ARANGO;PRINCIPAL;6;DOCE DE OCTUBRE;921;74;OFICIAL;Oficial;URBANA;Urbana;PEDREGAL;0;CR 72 99 55;2671190;2022.0
4;ZONA CENTRO OCCIDENTAL;800256811-8;105001000809;105001000809;10500100080901;INSTITUCION EDUCATIVA PERPETUO SOCORRO;PRINCIPAL;13;SAN JAVIER;931;155;CONFESIONES RELIGIOSAS;Oficial;URBANA;Urbana;BELENCITO;0;CR 92 34 D 53;3147739411;2022.0
2;ZONA NOROCCIDENTAL;811042301-4;105001000841;105001000841;10500100084101;INSTITUCION EDUCATIVA JESUS MARIA EL ROSAL;PRINCIPAL;5;CASTILLA;920;64;CONFESIONES RELIGIOSAS;Oficial;URBANA;Urbana;CASTILLA;0;CR 72 95 20;3207380;2022.0
6;ZONA SUROCCIDENTAL;811018855-1;105001000868;105001000868;10500100086801;INSTITUCION EDUCATIVA REPUBLICA DE VENEZUELA;PRINCIPAL;16;BELÉN;934;175;OFICIAL;Oficial;URBANA;Urbana;LAS VIOLETAS;0;Cl 31 C Nº 89 C 92;2388255;2022.0
1;ZONA NORORIENTAL;811017718-6;105001000876;105001000876;10500100087601;INSTITUCION EDUCATIVA JAVIERA LONDOÑO SEVILLA;PRINCIPAL;4;ARANJUEZ;917;38;OFICIAL;Oficial;URBANA;Urbana;SEVILLA;0;CL 71 51 D 26;2118291/2336219;2022.0
2;ZONA NOROCCIDENTAL;811019723-2;105001000931;105001000931;10500100093101;INSTITUCION EDUCATIVA DIEGO ECHAVARRIA MISAS;PRINCIPAL;5;CASTILLA;919;54;OFICIAL;Oficial;URBANA;Urbana;TEJELO;0;CL 111 70 68;2732700 ext 101-103-111;2022.0
2;ZONA NOROCCIDENTAL;"";105001001139;105001000931;10500100093102;SECCION ESCUELA EDUARDO URIBE BOTERO;SEDE;5;CASTILLA;919;54;OFICIAL;Oficial;URBANA;Urbana;TEJELO;0;CR 74 112 30;2732700 Ext 111 -116;2022.0
2;ZONA NOROCCIDENTAL;"";105001005657;105001000931;10500100093103;SECCION ESCUELA ESTADO DE ISRAEL;SEDE;5;CASTILLA;921;80;OFICIAL;Oficial;URBANA;Urbana;TEJELO;0;CL 110 A 75 A 1;2732809;2022.0
1;ZONA NORORIENTAL;811018722-0;105001000981;105001000981;10500100098101;INSTITUCION EDUCATIVA GILBERTO ALZATE AVENDAÑO;PRINCIPAL;4;ARANJUEZ;918;47;OFICIAL;Oficial;URBANA;Urbana;SAN ISIDRO;0;CL 92 51 A 100;5717731 5221008;2022.0
1;ZONA NORORIENTAL;"";105001000159;105001000981;10500100098102;SECCION ESCUELA TOMAS CARRASQUILLA NO. 1;SEDE;4;ARANJUEZ;918;47;OFICIAL;Oficial;URBANA;Urbana;PALERMO;0;CR 52     92-05;3668358;2022.0
1;ZONA NORORIENTAL;"";105001003361;105001000981;10500100098103;SECCION ESCUELA CARLOS VILLA MARTINEZ;SEDE;4;ARANJUEZ;918;47;OFICIAL;Oficial;URBANA;Urbana;SAN ISIDRO;0;CR 50B    95-06;2367667;2022.0
1;ZONA NORORIENTAL;"";105001001708;105001000981;10500100098104;SECCION ESCUELA SEGUROS BOLIVAR;SEDE;4;ARANJUEZ;918;47;OFICIAL;Oficial;URBANA;Urbana;BERMEJAL - LOS ALAMOS;0;CR 52    86-21;2637256;2022.0
1;ZONA NORORIENTAL;"";105001800074;105001000981;10500100098105;SECCION ESCUELA SAN ISIDRO;SEDE;4;ARANJUEZ;918;47;OFICIAL;Oficial;URBANA;Urbana;SAN ISIDRO;0;CR 53  95 25;3668358;2022.0
3;ZONA CENTRO ORIENTAL;811017215-3;105001000990;105001000990;10500100099001;INSTITUCION EDUCATIVA GONZALO RESTREPO JARAMILLO;PRINCIPAL;9;BUENOS AIRES;925;124;OFICIAL;Oficial;URBANA;Urbana;ALEJANDRO ECHAVARRÍA;0;CR 26 49 70;2696380 2697202;2022.0
3;ZONA CENTRO ORIENTAL;"";105001000540;105001000990;10500100099002;SECCION ESCUELA JUAN CANCIO RESTREPO;SEDE;9;BUENOS AIRES;925;124;OFICIAL;Oficial;URBANA;Urbana;LA MILAGROSA;0;CL 45 31 63;2391959;2022.0
3;ZONA CENTRO ORIENTAL;"";105001001147;105001000990;10500100099003;SECCION ESCUELA LA ANUNCIACION;SEDE;9;BUENOS AIRES;925;124;OFICIAL;Oficial;URBANA;Urbana;BOMBONÁ No2;0;KR 26 49 70;2697940 - 2696380;2022.0
6;ZONA SUROCCIDENTAL;811040138-0;105001001023;105001001023;10500100102301;INSTITUCION EDUCATIVA ANTONIO RICAURTE;PRINCIPAL;16;BELÉN;935;180;OFICIAL;Oficial;URBANA;Urbana;BELÉN RINCÓN;0;CR 80 # 2-11;3627494 -3004159402;2022.0
1;ZONA NORORIENTAL;811017315-1;105001001121;105001001121;10500100112101;INSTITUCION EDUCATIVA JOSE ROBERTO VASQUEZ BARRIO MANRIQUE;PRINCIPAL;3;MANRIQUE;916;23;OFICIAL;Oficial;URBANA;Urbana;EL POMAR;0;CL 76 39 160;2331414;2022.0
1;ZONA NORORIENTAL;"";105001001015;105001001121;10500100112102;SECCION ESCUELA BALDOMERO SANIN CANO;SEDE;3;MANRIQUE;916;23;OFICIAL;Oficial;URBANA;Urbana;EL RAIZAL;0;CR 37 # 75A-2;2338492;2022.0
1;ZONA NORORIENTAL;"";105001000922;105001001121;10500100112103;SECCION ESCUELA JOSE MANUEL MORA VASQUEZ;SEDE;3;MANRIQUE;916;23;OFICIAL;Oficial;URBANA;Urbana;EL POMAR;0;CR 42A    75-9;2334402;2022.0
1;ZONA NORORIENTAL;811017314-4;105001001155;105001001155;10500100115501;INSTITUCION EDUCATIVA SAN JUAN BAUTISTA DE LA SALLE;PRINCIPAL;3;MANRIQUE;916;24;OFICIAL;Oficial;URBANA;Urbana;LA SALLE;0;CL 93 40 42;3004147295-5225237;2022.0
1;ZONA NORORIENTAL;900704752-0;105001001163;105001001163;10500100116301;INSTITUCION EDUCATIVA LA ASUNCION;PRINCIPAL;2;SANTA CRUZ;915;204;OFICIAL;Oficial;URBANA;Urbana;Moscú No.1;0;CR 47 99 77;3004126419;2022.0
2;ZONA NOROCCIDENTAL;900218633-4;105001001198;105001001198;10500100119801;INSTITUCION EDUCATIVA AURES;PRINCIPAL;7;ROBLEDO;922;90;OFICIAL;Oficial;URBANA;Urbana;Aures No.1;0;CR 96A  77E 15 INT 102;2640826;2022.0
2;ZONA NOROCCIDENTAL;"";105001026735;105001001198;10500100119802;SECCION ESCUELA AURES;SEDE;7;ROBLEDO;922;90;OFICIAL;Oficial;URBANA;Urbana;Aures No.1;0;CR 93 A 77 F 57;5299399 5298446;2022.0
1;ZONA NORORIENTAL;811014433-9;105001001236;105001001236;10500100123601;INSTITUCION EDUCATIVA MONTECARLO GUILLERMO GAVIRIA CORREA;PRINCIPAL;3;MANRIQUE;916;25;OFICIAL;Oficial;URBANA;Urbana;LAS GRANJAS;0;CR 36 85 B 140;3004144423;2022.0
4;ZONA CENTRO OCCIDENTAL;811016998-7;105001001252;105001001252;10500100125201;INSTITUCION EDUCATIVA CRISTOBAL COLON;PRINCIPAL;12;LA AMERICA;930;145;OFICIAL;Oficial;URBANA;Urbana;SANTA MÓNICA;0;CL 38 92 93;2520535;2022.0
1;ZONA NORORIENTAL;811018314-9;105001001279;105001001279;10500100127901;INSTITUCION EDUCATIVA CIRO MENDIA;PRINCIPAL;2;SANTA CRUZ;915;14;OFICIAL;Oficial;URBANA;Urbana;Moscú No.1;0;CL 99 48 55;2364127;2022.0
1;ZONA NORORIENTAL;"";105001000850;105001001279;10500100127903;SECCION ESCUELA ARZOBISPO GARCIA;SEDE;2;SANTA CRUZ;915;14;OFICIAL;Oficial;URBANA;Urbana;Moscú No.1;0;CR 49  98  48;2360755;2022.0
3;ZONA CENTRO ORIENTAL;900337205-5;105001001317;105001001317;10500100131701;INSTITUCION EDUCATIVA MADRE MARIA MAZARELLO;PRINCIPAL;9;BUENOS AIRES;926;136;CONFESIONES RELIGIOSAS;Oficial;URBANA;Urbana;BUENOS AIRES;0;CL 48 33 62;2167211/2167901;2022.0
1;ZONA NORORIENTAL;811040079-4;105001001368;105001001368;10500100136801;INSTITUCION EDUCATIVA REPUBLICA DEL BRASIL;PRINCIPAL;3;MANRIQUE;916;26;OFICIAL;Oficial;URBANA;Urbana;EL POMAR;0;CR 42 A 76 28;3017835796;2022.0
1;ZONA NORORIENTAL;811016950-4;105001001473;105001001473;10500100147301;INSTITUCION EDUCATIVA MANUELA BELTRAN;PRINCIPAL;3;MANRIQUE;916;27;OFICIAL;Oficial;URBANA;Urbana;MANRIQUE ORIENTAL;0;CR 37  71 47;5161797 /5272968;2022.0
1;ZONA NORORIENTAL;"";105001005312;105001001473;10500100147302;SECCION ESCUELA SAN JOSE;SEDE;3;MANRIQUE;916;27;OFICIAL;Oficial;URBANA;Urbana;VERSALLES No1;0;CL 71  33 18;2841206;2022.0
4;ZONA CENTRO OCCIDENTAL;811039252-0;105001001490;105001001490;10500100149001;INSTITUCION EDUCATIVA LOLA GONZALEZ;PRINCIPAL;12;LA AMERICA;930;146;OFICIAL;Oficial;URBANA;Urbana;SANTA LUCIA;0;CL 47 F 94 63;5408160 ext. 104;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001002941;105001001490;10500100149002;SECCION ESCUELA SANTA LUCIA;SEDE;12;LA AMERICA;930;146;OFICIAL;Oficial;URBANA;Urbana;SANTA LUCIA;0;CR 89A    47DD-71;2341289;2022.0
3;ZONA CENTRO ORIENTAL;890985135-1;105001001562;105001001562;10500100156201;INSTITUCION EDUCATIVA JAVIERA LONDOÑO;PRINCIPAL;10;LA CANDELARIA;928;140;OFICIAL;Oficial;URBANA;Urbana;BOSTON;0;CL 53 40 65;2396363 2393116;2022.0
3;ZONA CENTRO ORIENTAL;"";105001001112;105001001562;10500100156202;SECCION ESCUELA ANTONIA SANTOS;SEDE;10;LA CANDELARIA;928;140;OFICIAL;Oficial;URBANA;Urbana;BOSTON;0;CL 50 B 38 11;3122688407;2022.0
3;ZONA CENTRO ORIENTAL;"";105001000515;105001001562;10500100156203;SECCION ESCUELA LUIS ALFONSO AGUDELO;SEDE;10;LA CANDELARIA;928;140;OFICIAL;Oficial;URBANA;Urbana;SAN DIEGO;0;CR 43 A 38 20;2320633;2022.0
6;ZONA SUROCCIDENTAL;811018723-8;105001001635;105001001635;10500100163501;INSTITUCION EDUCATIVA YERMO Y PARRES;PRINCIPAL;16;BELÉN;935;181;OFICIAL;Oficial;URBANA;Urbana;BELÉN;0;CL 28 77 84;3471590 - 3433208;2022.0
6;ZONA SUROCCIDENTAL;"";105001001171;105001001635;10500100163502;SECCION ESCUELA CARLOS FRANCO;SEDE;16;BELÉN;935;181;OFICIAL;Oficial;URBANA;Urbana;SAN BERNARDO;0;CL 23 78 48;3432833;2022.0
6;ZONA SUROCCIDENTAL;"";105001002372;105001001635;10500100163504;SECCION ESCUELA GUILLERMO VALENCIA;SEDE;16;BELÉN;935;181;OFICIAL;Oficial;URBANA;Urbana;SAN BERNARDO;0;CR 77 25 67;2560941;2022.0
3;ZONA CENTRO ORIENTAL;811017307-2;105001001651;105001001651;10500100165101;INSTITUCION EDUCATIVA JOSE CELESTINO MUTIS;PRINCIPAL;8;VILLA HERMOSA;924;111;OFICIAL;Oficial;URBANA;Urbana;VILLA HERMOSA;0;CL 65 45 15;2540988 -3004128341;2022.0
1;ZONA NORORIENTAL;811015293-9;105001001660;105001001660;10500100166001;INSTITUCION EDUCATIVA JOSE ANTONIO GALAN;PRINCIPAL;3;MANRIQUE;916;28;OFICIAL;Oficial;URBANA;Urbana;LA SALLE;0;CR 44A 93 87;2363000-2143010;2022.0
5;ZONA SURORIENTAL;900707080-1;105001001716;105001001716;10500100171601;INSTITUCION EDUCATIVA SANTA CATALINA DE SIENA;PRINCIPAL;14;POBLADO;932;205;OFICIAL;Oficial;URBANA;Urbana;LOS NARANJOS;0;CL 1 # 29 - 300;3541437 - 2667989;2022.0
2;ZONA NOROCCIDENTAL;890980706-4;105001001791;105001001791;10500100179101;INSTITUCION EDUCATIVA MONSEÑOR GERARDO VALENCIA CANO;PRINCIPAL;7;ROBLEDO;923;96;OFICIAL;Oficial;URBANA;Urbana;San Germán;0;CL 65 74 B 273;3666408 - 3002076895;2022.0
2;ZONA NOROCCIDENTAL;"";105001021075;105001001791;10500100179102;SECCION ESCUELA LA PORTADA;SEDE;7;ROBLEDO;923;96;OFICIAL;Oficial;URBANA;Urbana;Aures No.2;0;CL 80C  88A 37;2300113 - 3666408;2022.0
1;ZONA NORORIENTAL;811030435-0;105001001805;105001001805;10500100180501;INSTITUCION EDUCATIVA FE Y ALEGRIA POPULAR NO. 1;PRINCIPAL;1;POPULAR;914;1;OFICIAL;Oficial;URBANA;Urbana;Popular;0;IND CL 120 42BB 10;5286518/5285264;2022.0
1;ZONA NORORIENTAL;"";105001001571;105001001805;10500100180502;SECCION ESCUELA FE Y ALEGRIA POPULAR NO. 2;SEDE;1;POPULAR;914;1;OFICIAL;Oficial;URBANA;Urbana;Popular;0;CR 43    11 8B 16;2369838;2022.0
1;ZONA NORORIENTAL;811039606-4;105001001821;105001001821;10500100182101;INSTITUCION EDUCATIVA NUEVO HORIZONTE - PAULO VI;PRINCIPAL;1;POPULAR;914;8;OFICIAL;Oficial;URBANA;Urbana;Nuevo Horizonte;0;CR 42 B 110 A 28;5722929/5285638;2022.0
1;ZONA NORORIENTAL;"";105001013081;105001001821;10500100182102;SECCION ESCUELA NUEVO HORIZONTE 2;SEDE;1;POPULAR;914;8;OFICIAL;Oficial;URBANA;Urbana;Granizal;0;CR 37    107AA-21;5284658;2022.0
2;ZONA NOROCCIDENTAL;811026976-8;105001001848;105001001848;10500100184801;INSTITUCION EDUCATIVA SOR JUANA INES DE LA CRUZ;PRINCIPAL;5;CASTILLA;919;55;OFICIAL;Oficial;URBANA;Urbana;GIRARDOT;0;CR 67 103 EE 1;2675005/2678688;2022.0
2;ZONA NOROCCIDENTAL;"";105001800091;105001001848;10500100184802;SECCION ESCUELA SOR JUANA;SEDE;5;CASTILLA;919;55;OFICIAL;Oficial;URBANA;Urbana;GIRARDOT;0;CL 103 EE  65 85;2678688 Ext 107;2022.0
4;ZONA CENTRO OCCIDENTAL;900419075-7;105001001881;105001001881;10500100188101;INSTITUCION EDUCATIVA CARLOS VIECO ORTIZ;PRINCIPAL;13;SAN JAVIER;931;159;OFICIAL;Oficial;URBANA;Urbana;SAN JAVIER No.1;0;CL 40 105 36;300 413 31 19;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001005711;105001001881;10500100188102;SECCION ESCUELA JUAN DE DIOS ARANZAZU;SEDE;13;SAN JAVIER;931;159;OFICIAL;Oficial;URBANA;Urbana;SAN JAVIER No.1;0;CL 42    105-42;300 413 57 54;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001018872;105001001881;10500100188103;SECCION ESCUELA MUNICIPAL SAN JAVIER;SEDE;13;SAN JAVIER;931;159;OFICIAL;Oficial;URBANA;Urbana;VEINTE DE JULIO;0;CR 108 39 D 07;300 413 55 17;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001014435;105001001881;10500100188104;SECCION ESCUELA VEINTE DE JULIO;SEDE;13;SAN JAVIER;931;159;OFICIAL;Oficial;URBANA;Urbana;CAMPO ALEGRE;0;CR 106 38 40;300 413 35 78;2022.0
6;ZONA SUROCCIDENTAL;811040191-1;105001002003;105001002003;10500100200301;INSTITUCION EDUCATIVA SAN ROBERTO BELARMINO;PRINCIPAL;16;BELÉN;934;170;OFICIAL;Oficial;URBANA;Urbana;LAS MERCEDES;0;CL 32 B 83 39;2562097/2560140;2022.0
3;ZONA CENTRO ORIENTAL;811014080-2;105001002011;105001002011;10500100201101;INSTITUCION EDUCATIVA FEDERICO OZANAM;PRINCIPAL;9;BUENOS AIRES;926;130;OFICIAL;Oficial;URBANA;Urbana;BUENOS AIRES;0;CR 36-45-08;300 4203937;2022.0
4;ZONA CENTRO OCCIDENTAL;811016955-0;105001002020;105001002020;10500100202001;INSTITUCION EDUCATIVA RAFAEL URIBE URIBE;PRINCIPAL;12;LA AMERICA;930;147;OFICIAL;Oficial;URBANA;Urbana;LA AMÉRICA;0;CR 82 42 C 58;4639857;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001002887;105001002020;10500100202002;SECCION ESCUELA RAFAEL URIBE URIBE;SEDE;12;LA AMERICA;930;147;OFICIAL;Oficial;URBANA;Urbana;LA AMÉRICA;0;CR 83  42C 54;4639857;2022.0
1;ZONA NORORIENTAL;811023680-1;105001002038;105001002038;10500100203801;INSTITUCION EDUCATIVA JOSE EUSEBIO CARO;PRINCIPAL;4;ARANJUEZ;918;48;OFICIAL;Oficial;URBANA;Urbana;SAN ISIDRO;0;CR 50 A 93 77;2362561/2364551;2022.0
6;ZONA SUROCCIDENTAL;811039014-4;105001002071;105001002071;10500100207101;INSTITUCION EDUCATIVA BENJAMIN HERRERA;PRINCIPAL;15;GUAYABAL;933;163;OFICIAL;Oficial;URBANA;Urbana;TRINIDAD;0;CL 25 52 140;2650073;2022.0
6;ZONA SUROCCIDENTAL;"";105001001775;105001002071;10500100207102;SECCION ESCUELA SANTISIMA TRINIDAD;SEDE;15;GUAYABAL;933;163;OFICIAL;Oficial;URBANA;Urbana;TRINIDAD;0;CL 26    65B-100;2353435;2022.0
1;ZONA NORORIENTAL;811040151-7;105001002101;105001002101;10500100210101;INSTITUCION EDUCATIVA JUAN DE DIOS COCK;PRINCIPAL;4;ARANJUEZ;917;39;OFICIAL;Oficial;URBANA;Urbana;LAS ESMERALDAS;0;CL 88 45 70;2118268/2110220;2022.0
4;ZONA CENTRO OCCIDENTAL;890980116-9;105001002119;105001002119;10500100211901;INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ;PRINCIPAL;11;LAURELES ESTADIO;929;142;OFICIAL;Oficial;URBANA;Urbana;SURAMERICANA;0;CR 70 49 70;3222822 EXT 101;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001002828;105001002119;10500100211902;SECCION ESCUELA CUARTA BRIGADA;SEDE;11;LAURELES ESTADIO;929;142;OFICIAL;Oficial;URBANA;Urbana;BATALLÓN CUARTA BRIGADA;0;CL 53    76-267;2641966;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001002569;105001002119;10500100211903;SECCION ESCUELA CARLOS OBANDO VELASCO;SEDE;11;LAURELES ESTADIO;929;142;OFICIAL;Oficial;URBANA;Urbana;SAN JOAQUÍN;0;CR 67A    42-24;2304985;2022.0
2;ZONA NOROCCIDENTAL;"";105001007269;105001002119;10500100211904;SECCION ESCUELA LA IGUANA;SEDE;11;LAURELES ESTADIO;929;142;OFICIAL;Oficial;URBANA;Urbana;NUEVA VILLA DE LA IGUANÁ;0;CR 70 N° 53 02;3222822;2022.0
1;ZONA NORORIENTAL;811018169-7;105001002135;105001002135;10500100213501;INSTITUCION EDUCATIVA RAMON MUNERA LOPERA;PRINCIPAL;3;MANRIQUE;916;29;OFICIAL;Oficial;URBANA;Urbana;EL RAIZAL;0;CR 30A    77-04;3004144867;2022.0
1;ZONA NORORIENTAL;"";205001015266;105001002135;10500100213503;SECCION ESCUELA ALTO DE LA CRUZ;SEDE;3;MANRIQUE;916;29;OFICIAL;Oficial;URBANA;Urbana;LA CRUZ;0;CL 79 C 24 21;2318602;2022.0
2;ZONA NOROCCIDENTAL;811040275-1;105001002305;105001002305;10500100230501;INSTITUCION EDUCATIVA MARISCAL ROBLEDO;PRINCIPAL;7;ROBLEDO;923;97;OFICIAL;Oficial;URBANA;Urbana;Robledo;0;CL 65 84 87;3589448 / 3588059;2022.0
2;ZONA NOROCCIDENTAL;"";105001026557;105001002305;10500100230502;SECCION ESCUELA CONRADO GONZALEZ MEJIA;SEDE;7;ROBLEDO;923;97;OFICIAL;Oficial;URBANA;Urbana;Villa Flora;0;CL 76 80 496;4216483;2022.0
