"Departamento","Municipio","Dirección","Código sede","Nombre sede","Tipo calendario","Zona","Teléfono","Teléfono móvil","Correo electrónico","Sitio web","Tipo de sede","Jornadas","Habilitada","Legalizada"
"AHUACHAPAN","AHUACHAPAN","CANTON SUNTECUMAT","10021","CENTRO ESCOLAR ""CANTON SUNTECUMAT""","Nacional","Rural","6140 - 1089",NULL,"carolina.maza@mined.edu.sv",NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON LOS MAGUEYES","10022","CENTRO ESCOLAR ""CANTON LOS MAGUEYES""","Nacional","Rural",NULL,NULL,"c.e.losmagueyes@hotmail.com",NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","KM. 103 CARRETERA LAS CHINAMAS","10023","CENTRO ESCOLAR ""DOCTOR RENE VIRGILIO CORNEJO GRANADOS""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON PALO PIQUE","10024","CENTRO ESCOLAR ""CANTON PALO PIQUE""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON RIO FRIO","10025","CENTRO ESCOLAR ""CANTON RIO FRIO""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON SANTA CRUZ","10026","CENTRO ESCOLAR ""ABELINA ARRIAZA""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON LOMA DE LA GLORIA","10027","COMPLEJO EDUCATIVO ""DOCTOR RAFAEL MEZA DELGADO""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO ZUNCUA EL PAJONAL, C%2f  ASHAPUCO","10028","CENTRO ESCOLAR ""CASERIO ZUNCUA EL PAJONAL, CANTON ASHAPUCO""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CASERIO EL BOTADERO, C%2f EL ROBLE","10029","CENTRO ESCOLAR ""CASERIO EL BOTADERO, CANTON EL ROBLE""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON CHANCUYO","10031","COMPLEJO EDUCATIVO ""DOCTOR ARTURO ROMERO""","Nacional","Rural","24134837",NULL,"cedarturoromero2006@gmail.com",NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON SANTA ROSA ACACALCO","10032","CENTRO ESCOLAR ""CANTON SANTA ROSA ACACALCO""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","HACIENDA LA LABOR, CANTON CHIPILAPA","10033","COMPLEJO EDUCATIVO  HACIENDA LA LABOR","Nacional","Rural","24163401",NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CASERIO LAS CHINITAS, C%2f LLANO DE LA LAGUNA","10037","CENTRO ESCOLAR ""CASERIO LAS CHINITAS, C%2f LLANO DE LA LAGUNA""","Nacional","Rural","24555139",NULL,"lopez.benedicto69@gmail.com",NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","4a. CALLE OTE. Y CALLE L, COL. SANTA MARIA","10038","CENTRO ESCOLAR ""COLONIA SANTA MARIA""","Nacional","Urbana",NULL,"7661-1505","cecsm.10038@hotmail.com","http://www.miportal.edu.sv/sitios/10038/inicio.html  ","Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON LA DANTA","10039","CENTRO ESCOLAR ""CANTON LA DANTA""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON   SAN LAZARO","10042","CENTRO ESCOLAR ""CANTON SAN LAZARO""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CASERIO RANCHO GRANDE, C%2f EL JUNQUILLO","10044","CENTRO ESCOLAR ""CASERIO  RANCHO GRANDE, CANTON EL JUNQUILLO""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","FINAL CALLE LAS CEIBAS, COLONIA LA ESPERANZA, C%2f ASHAPUCO","10045","CENTRO ESCOLAR ""HACIENDA ZACAMIL""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","FINAL CALLE COLONIA LA ESPERANZA, ESQUINA OPUESTA AL HOSPITAL FRANCISCO MENENDEZ","10047","ESCUELA DE EDUCACION ESPECIAL ""DE AHUACHAPAN""","Nacional","Urbana",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","COLONIA LAS VICTORIAS, CANTON EL BARRO, LOS AUSOLES","10048","CENTRO ESCOLAR ""COLONIA LAS VICTORIAS""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","AVENIDA MORAZAN # 1-3","10052","INSTITUTO NACIONAL ""ALEJANDRO DE HUMBOLDT""","Nacional","Urbana","24430086",NULL,"inahuachapan@gmail.com","sitiosescolares.miportal.edu.sv/10052","Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON LLANO DE DOÑA MARIA","10053","INSTITUTO NACIONAL ""LUIS REYNALDO TOBAR""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","KM. 108 CARRETERA LAS CHINAMAS","10074","CENTRO ESCOLAR ""COLONIA LAS VIÑAS, CANTON EL JUNQUILLO""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","COLONIA SAN RAFAEL 2, CALLE AL CAFETAL VIEJO, LOTES Nº 5, 6 Y 7","10473","COLEGIO METODISTA AHUACHAPANECO","Nacional","Urbana","24132165",NULL,"@",NULL,"Centro educativo privado","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","COLONIA LAS PALMERAS, 2 KMS. AL SUR DE CANCHAS DE EL ESPINO","14809","CENTRO ESCOLAR ""COLONIA LAS PALMERAS""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTON RIO FRIO, AHUACHAPAN","14862","CENTRO ESCOLAR ""CASERIO CALERA GRANDE, CANTON RIO FRIO""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","AVENIDA FRANCISCO MENÉNDEZ SUR, Nº 1-4","20001","COLEGIO CRISTIANO PROFESOR JUSTO GONZALEZ CARRASCO","Nacional","Urbana","4431742",NULL,"colgcristianoahuachapan@yahoo.es",NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","4ª C. OTE. # 1-1 AHUACHAPAN","20002","ESCUELA MUNICIPAL DR. GUSTAVO MAGAÑA MENENDEZ","Nacional","Urbana","4431225","24431225",NULL,NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","10A. C. PTE. 5-4, AHUACHAPAN, AHUACHAPAN","20003","LICEO CRISTIANO REVERENDO JUAN BUENO DE AHUACHAPAN","Nacional","Urbana","24431664",NULL,"jeaneth-yimauri@hotmail.com",NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","1A. CALLE ORIENTE Nº 4-4, AHUACHAPAN, AHUACHAPAN","20006","COLEGIO ""ALBERTO MASFERRER""","Nacional","Urbana","4132222","24155045","colegioalbertomasferrer@hotmail.com",NULL,"Centro educativo privado","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","RESIDENCIAL LLANO EL ESPINO, AVE. MORAZAN, POIGONO ""A"",  Nº 49, AHUACHAPÁN","20007","COLEGIO GUILLERMINA AYALA DE SOLANO","Nacional","Urbana","24165259","77551530","coleguillermina@hotmail.com",NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","1ª CALLE COLONIA SANTA MARIA IGLESIA ADVENTISTA","20008","COLEGIO ADVENTISTA","Nacional","Urbana","4410575","24410575","coadventistaah@hotmail.com",NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","4A CALLE PONIENTE Nº 2-2, BARRIO EL CALVARIO","20009","COLEGIO LOURDES  DE AHUACHAPAN","Nacional","Urbana","24430654","78502316","colegio.lourdes@hotmail.com",NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","10A. CALLE PONIENTE Y FINAL 2A. AVENIDA NORTE","20012","COLEGIO ""MONTE CARMELO""","Nacional","Urbana","24133536",NULL,NULL,NULL,"Centro educativo privado","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","AVENIDA MENENDEZ SUR N° 3-6","20014","COLEGIO JOSEFINO","Nacional","Urbana","4430048",NULL,"colegio_josefino@yahoo.es",NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","10 a. CALLE PONIENTE 4-7, AHUACHAPAN, AHUACHAPAN","20015","COLEGIO AHUACHAPANECO DE COMERCIO","Nacional","Urbana","4431145",NULL,"colegioahuachapaneco@hotmail.com",NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","6A. CALLE PONIENTE, Nº 1-2, BARRIO EL CALVARIO","20016","LICEO ""PROFESOR FLAVIO JIMENEZ""","Nacional","Urbana","4431774","78204093","flavio-bajojimenez83@joemey.com",NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","6A CALLE PONIENTE, N° 3-8","21030","LICEO ""CLARIBEL ALEGRÍA""","Nacional","Urbana","24431390",NULL,"liceo.claribel.alegria@hotmail.com",NULL,"Centro educativo privado","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","3A AVENIDA SUR, N° 1-1","21202","LICEO ""RAFAEL MENDOZA""","Nacional","Urbana","24132186",NULL,NULL,NULL,"Centro educativo privado","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","LOTIFICACIÓN ALTOS DEL PINO, CALLE A CANTÓN ASHAPUCO","21289","LICEO EVANGÉLICO ""LA ATARRAYA""","Nacional","Rural",NULL,"7628-0946","clatarraya@gmail.com",NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","1A. CALLE PONIENTE, Nº 2-3, ENTRE 2A. Y 4A. AVENIDA SUR, BARRIO EL CENTRO","21584","COLEGIO CRISTIANO ""PROFESOR JUSTO GONZÁLEZ CARRASCO""","Nacional","Urbana","4431742",NULL,NULL,NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","KM. 92.5, CARRETERA AHUACHAPÁN, CANTÓN CHILAPA","30005","CENTRO DE ATENCIÓN INICIAL DE LA COOPERATIVA LA LABOR","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CARRETERA A TACUBA, CANTÓN EL JÍCARO, CASERÍO EL CARRIZAL","30007","CENTRO DE ATENCIÓN INICIAL EL CARRIZAL","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","GOBERNACION DEPTAL. DE AHUACHAPA","30349","GOBERNACIÓN DEPARTAMENTAL  DE AHUACHAPAN","Nacional","Urbana",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","FINAL 5A. AVENIDA SUR, AHUACHAPAN","30394","CENTRO DE ATENCION INICIAL DE AHUACHAPAN Nº 1","Nacional","Urbana",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","FINAL 3A. AVENIDA NORTE, AHUACHAPAN","30395","CENTRO DE ATENCION INICIAL DE AHUACHAPÁN Nº 2","Nacional","Urbana",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CASERIO LOS NANCES, C%2f EL TIGRE, J%2fAHUACHAPAN, AHUACHAPAN","60001","CENTRO ESCOLAR CASERÍO LOS NANCES, CANTÓN EL TIGRE","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO CALAPA C%2f. EL TIGRE, J%2fAHUACHAPAN, AHUACHAPAN","60002","CENTRO ESCOLAR  CASERÍO CALAPA, CANTÓN EL TIGRE","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO EL DESVIO, C%2f SANTA CRUZ, J%2f AHUACHAPAN, AHUACHAPAN","60003","CENTRO ESCOLAR  CASERÍO EL DESVÍO, CANTÓN SANTA CRUZ","Nacional","Rural","24013761",NULL,"menicia2012@gmail.com",NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO SAN VENANCIO C%2f EL JUNQUILLO, J%2fAHUACHAPAN, AHUACHAPAN","60004","CENTRO ESCOLAR  CASERÍO SAN VENANCIO, CANTÓN EL JUNQUILLO","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CANTON SAN RAMON, J%2fAHUACHAPAN, AHUACHAPAN","60005","CENTRO ESCOLAR CANTÓN SAN RAMÓN","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO GUAYALTEPE, C%2f LOMA DE LA GLORIA, J%2fAHUACHAPAN, AHUACHAPAN","60006","CENTRO ESCOLAR  CASERÍO GUAYALTEPE, CANTÓN LOMA DE LA GLORIA","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO HACIENDA EL OBRAJUELO, C%2f RIO FRIO, J%2fAHUACHAPAN, AHUACHAPAN","60007","CENTRO ESCOLAR CASERÍO HACIENDA EL OBRAJUELO, CANTÓN RÍO FRÍO","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO LAS CUREÑAS C%2f LOS TOLES, J%2f AHUACHAPAN, AHUACHAPAN","60008","CENTRO ESCOLAR  CASERÍO LAS CUREÑAS, CANTÓN LOS TOLES","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO HDA. SAN RAYMUNDO C%2f LA COYOTERA, J%2fAHUACHAPAN, AHUACHAPAN","60009","CENTRO ESCOLAR HACIENDA SAN RAYMUNDO, CANTÓN LA COYOTERA","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO TAHUAPA, C%2f EL JUNQUILLO, J%2fAHUACHAPAN, AHUACHAPAN","60010","CENTRO ESCOLAR CASERÍO TAHUAPA, CANTÓN EL JUNQUILLO","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CANTON EL ANONAL, J%2fAHUACHAPAN, AHUACHAPAN","60011","CENTRO ESCOLAR CANTÓN EL ANONAL","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CANTON TACUBITA, J%2fAHUACHAPAN, AHUACHAPAN","60012","CENTRO ESCOLAR CANTÓN TACUBITA","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO LOMA ALTA, CANTON LOMA DE LA GLORIA, J%2f AHUACHAPAN, AHUACHAPAN","60132","CENTRO ESCOLAR CASERÍO LOMA ALTA, CANTÓN LOMA DE LA GLORIA","Nacional","Rural",NULL,"76405859","asalvador.solis@gmail.com",NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO COLONIA VENECIA, CANTON LLANO DE LA LAGUNA, J%2f AHUACHAPAN, AHUACHAPAN","60133","CENTRO ESCOLAR CASERÍO COLONIA VENECIA, CANTÓN LLANO DE LA LAGUNA","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO LOS AREVALOS, CANTON EL ANONAL, J%2f AHUACHAPAN, AHUACHAPAN","60135","CENTRO ESCOLAR CASERÍO LOS AREVALOS, CANTÓN EL ANONAL""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO COMUNIDA REGALO DE DIOS RODRIGUEZ PORTH, CANTON ASHAPUCO, J%2f AHUACHAPAN","60207","CENTRO ESCOLAR CASERÍO COMUNIDAD REGALO DE DIOS ""RODRÍGUEZ PORTH""","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CANTON LLANO DE LA LAGUNA","60268","CENTRO ESCOLAR HACIENDA SAN CAYETANO, CANTON LLANO DE LA LAGUNA","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","COLONIA SANTA LUCÍA, CANTÓN LOS MAGUEYES,","60339","CENTRO ESCOLAR SANTA LUCÍA","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO  NUEVO NANCE AMARILLO, CANTON RIO FRIO, J%2f AHUACHAPAN, AHUACHAPAN","86340","CENTRO ESCOLAR CASERÍO  NUEVO NANCE AMARILLO CANTÓN RIO FRIO","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO NUEVO AMANECER, CANTON PALO PIQUE, J%2f AHUACHAPAN, AHUACHAPAN","86348","CENTRO ESCOLAR CASERÍO NUEVO AMANECER, CANTÓN PALO PIQUE","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CANTON LOS TOLES, J%2f AHUACHAPAN, AHUACHAPAN","86488","CENTRO ESCOLAR CANTÓN LOS TOLES","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CANTON EL TIGRE, J%2f AHUACHAPAN, AHUACHAPAN","86489","CENTRO ESCOLAR CANTÓN  EL TIGRE","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","HACIENDA EL CARMEN, CANTON RIO FRIO, J%2f AHUACHAPAN","86490","CENTRO ESCOLAR HACIENDA EL CARMEN, CANTÓN RÍO FRÍO","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","CASERIO LOS PIN, CANTON  LOS HUATALES, J%2f AHUACHAPAN, AHUACHAPAN","86491","CENTRO ESCOLAR CASERÍO LOS PIN, CANTÓN LOS HUATALES","Nacional","Rural",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","FINAL 5 CALLE ORIENTE, SANTA LUISA DE MARILLAC, AHUACHAPAN","88001","CENTRO ESCOLAR CATÓLICO ""SAN JOSE""","Nacional","Urbana","2443-1129","7208-2199","cec_sanjoseah@yahoo.com",NULL,"Centro educativo privado","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","AVENIDA FRANCISCO MENENDEZ SUR, 3-6, AHUACHAPAN","88003","CENTRO ESCOLAR CATÓLICO JOSEFINO","Nacional","Urbana","24430048    ",NULL,"colegiojosefino1@gmail.com",NULL,"Centro educativo privado","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CANTÓN EL ESPINO","90038","CENTRO ESCOLAR ""EL ESPINO""","Nacional","Rural","24430437",NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","SI"
"AHUACHAPAN","AHUACHAPAN","AHUACHAPAN","94994","CENTRO DE EDUCACION EXTRAESCOLAR CIRCULO ESTUDIANTIL","Nacional","Urbana",NULL,NULL,NULL,NULL,"Centro educativo oficial","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","INJUVE KM 1/2 DEL CASCO URBANO  ","A19010038","INJUVE","Alfabetización","Urbana",NULL,NULL,NULL,NULL,"Círculo de alfabetización","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","auch 234","A19010093","PruebaAfla","Alfabetización","Urbana",NULL,NULL,NULL,NULL,"Círculo de alfabetización","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CASERIO LA ROCA","A19010198","CASERIO LA ROCA","Alfabetización","Rural",NULL,"76150734",NULL,NULL,"Círculo de alfabetización","Jornada completa","SI","NO"
"AHUACHAPAN","AHUACHAPAN","HACIENDA SAN REYMUNDO, CANTON LLANO DE DOÑA MARIA, AHUACHAPAN ","C1","CIRCULO DE FAMILIA HACIENDA SAN REYMUNDO ","Nacional","Rural",NULL,NULL,NULL,NULL,"Círculo de primera infancia","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CASERIO EL PUENTE HACIENDA LA LABOR","C1EP","EL PUENTE","Nacional","Rural",NULL,NULL,NULL,NULL,"Círculo de primera infancia","Matutino","SI","NO"
"AHUACHAPAN","AHUACHAPAN","CASERIO LOS AREVALO CANTON SANTA ROSA ACACALCO","C1LA","LOS AREVALO","Nacional","Rural",NULL,NULL,NULL,NULL,"Círculo de primera infancia","Vespertino","SI","NO"
